
Estimated aggregate size of event trace:                   607MB
Estimated requirements for largest trace buffer (max_buf): 54MB
Estimated memory requirements (SCOREP_TOTAL_MEMORY):       56MB
(hint: When tracing set SCOREP_TOTAL_MEMORY=56MB to avoid intermediate flushes
 or reduce requirements using USR regions filters.)

flt     type max_buf[B]     visits time[s] time[%] time/visit[us]  region
         ALL 56,251,529 21,259,014  443.14   100.0          20.84  ALL
     OPENACC 40,727,960 17,312,520   79.20    17.9           4.57  OPENACC
         MPI 11,311,476  2,002,458  333.18    75.2         166.38  MPI
         COM  4,212,052  1,944,024   30.76     6.9          15.82  COM
      SCOREP         41         12    0.00     0.0          87.02  SCOREP

         MPI  4,806,000    648,000    1.27     0.3           1.96  MPI_Irecv
         MPI  4,806,000    648,000    1.75     0.4           2.71  MPI_Isend
         MPI  1,404,000    648,000   12.08     2.7          18.64  MPI_Waitall
         COM  1,404,000    648,000    1.84     0.4           2.84  semi_discrete_step(double*, double*, double*, double, int, double*, double*)
     OPENACC  1,404,000    648,000    3.34     0.8           5.15  acc_download@miniWeather_mpi_openacc.cpp:370
     OPENACC  1,404,000    648,000    4.02     0.9           6.20  acc_upload@miniWeather_mpi_openacc.cpp:380
     OPENACC  1,404,000    648,000    5.15     1.2           7.95  acc_wait@miniWeather_mpi_openacc.cpp:380
     OPENACC  1,404,000    648,000    1.31     0.3           2.02  acc_data_enter@miniWeather_mpi_openacc.cpp:220
     OPENACC  1,404,000    648,000    1.41     0.3           2.17  acc_compute@miniWeather_mpi_openacc.cpp:220
     OPENACC  1,404,000    648,000    3.74     0.8           5.77  acc_launch_kernel@miniWeather_mpi_openacc.cpp:220
     OPENACC  1,404,000    648,000    5.46     1.2           8.42  acc_wait@miniWeather_mpi_openacc.cpp:220
     OPENACC  1,404,000    648,000    1.44     0.3           2.23  acc_data_exit@miniWeather_mpi_openacc.cpp:220
     OPENACC    702,000    324,000    2.03     0.5           6.26  acc_launch_kernel@miniWeather_mpi_openacc.cpp:243
     OPENACC    702,000    324,000    0.69     0.2           2.14  acc_compute@miniWeather_mpi_openacc.cpp:329
     OPENACC    702,000    324,000    0.60     0.1           1.86  acc_data_enter@miniWeather_mpi_openacc.cpp:329
     OPENACC    702,000    324,000    0.97     0.2           3.01  acc_data_exit@miniWeather_mpi_openacc.cpp:298
     OPENACC    702,000    324,000    4.12     0.9          12.71  acc_wait@miniWeather_mpi_openacc.cpp:298
     OPENACC    702,000    324,000    1.86     0.4           5.74  acc_launch_kernel@miniWeather_mpi_openacc.cpp:298
     OPENACC    702,000    324,000    0.70     0.2           2.18  acc_compute@miniWeather_mpi_openacc.cpp:298
     OPENACC    702,000    324,000    0.89     0.2           2.76  acc_data_enter@miniWeather_mpi_openacc.cpp:298
         COM    702,000    324,000    1.31     0.3           4.03  compute_tendencies_z(double*, double*, double*)
     OPENACC    702,000    324,000    0.36     0.1           1.12  acc_data_exit@miniWeather_mpi_openacc.cpp:419
     OPENACC    702,000    324,000    2.56     0.6           7.90  acc_wait@miniWeather_mpi_openacc.cpp:419
     OPENACC    702,000    324,000    1.83     0.4           5.66  acc_launch_kernel@miniWeather_mpi_openacc.cpp:419
     OPENACC    702,000    324,000    0.69     0.2           2.13  acc_compute@miniWeather_mpi_openacc.cpp:419
     OPENACC    702,000    324,000    0.34     0.1           1.06  acc_data_enter@miniWeather_mpi_openacc.cpp:419
         COM    702,000    324,000    0.68     0.2           2.11  set_halo_values_z(double*)
     OPENACC    702,000    324,000    0.74     0.2           2.27  acc_data_enter@miniWeather_mpi_openacc.cpp:380
     OPENACC    702,000    324,000    1.81     0.4           5.60  acc_launch_kernel@miniWeather_mpi_openacc.cpp:329
         COM    702,000    324,000    2.86     0.6           8.82  set_halo_values_x(double*)
     OPENACC    702,000    324,000    2.85     0.6           8.81  acc_wait@miniWeather_mpi_openacc.cpp:329
     OPENACC    702,000    324,000    0.68     0.2           2.11  acc_data_enter@miniWeather_mpi_openacc.cpp:358
     OPENACC    702,000    324,000    0.67     0.2           2.07  acc_data_exit@miniWeather_mpi_openacc.cpp:329
     OPENACC    702,000    324,000    0.75     0.2           2.32  acc_compute@miniWeather_mpi_openacc.cpp:358
     OPENACC    702,000     27,000    0.16     0.0           5.98  acc_launch_kernel@miniWeather_mpi_openacc.cpp:395
     OPENACC    702,000    324,000    0.52     0.1           1.61  acc_data_exit@miniWeather_mpi_openacc.cpp:274
     OPENACC    702,000    324,000    2.60     0.6           8.04  acc_wait@miniWeather_mpi_openacc.cpp:274
     OPENACC    702,000     27,000    0.06     0.0           2.25  acc_compute@miniWeather_mpi_openacc.cpp:395
     OPENACC    702,000    324,000    1.86     0.4           5.74  acc_launch_kernel@miniWeather_mpi_openacc.cpp:274
     OPENACC    702,000    324,000    0.71     0.2           2.18  acc_compute@miniWeather_mpi_openacc.cpp:274
     OPENACC    702,000    324,000    0.49     0.1           1.52  acc_data_enter@miniWeather_mpi_openacc.cpp:274
     OPENACC    702,000    324,000    0.86     0.2           2.64  acc_data_exit@miniWeather_mpi_openacc.cpp:243
     OPENACC    702,000    324,000    3.67     0.8          11.32  acc_wait@miniWeather_mpi_openacc.cpp:243
     OPENACC    702,000    324,000    2.07     0.5           6.38  acc_launch_kernel@miniWeather_mpi_openacc.cpp:380
     OPENACC    702,000    324,000    0.73     0.2           2.27  acc_compute@miniWeather_mpi_openacc.cpp:243
